crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
MV-184,Accident-RashDriving,2025-11-11T12:35:00,12.967297,80.231315,"Sector 36, Zone 1","Base dataset FIR #1: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
379,IPC-Theft,2025-11-02T05:55:00,12.980723,80.227995,"Sector 8, Zone 4","Base dataset FIR #2: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
MV-184,Accident-RashDriving,2026-03-29T04:25:00,12.973799,80.236889,"Sector 22, Zone 10","Base dataset FIR #3: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
307,IPC-AttemptToMurder,2025-10-19T18:17:00,12.986112,80.205273,"Sector 19, Zone 3","Base dataset FIR #4: IPC-AttemptToMurder recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,4
MV-184,Accident-RashDriving,2025-12-02T13:57:00,13.039057,80.172236,"Sector 39, Zone 12","Base dataset FIR #5: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
MV-184,Accident-RashDriving,2026-03-28T09:50:00,13.031932,80.290311,"Sector 22, Zone 12","Base dataset FIR #6: Accident-RashDriving recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,True,False,3
MV-184,Accident-RashDriving,2026-03-15T02:44:00,13.012104,80.193182,"Sector 31, Zone 12","Base dataset FIR #7: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
420,IPC-Fraud,2026-01-20T04:07:00,17.344442,78.504382,"Sector 16, Zone 3","Base dataset FIR #8: IPC-Fraud recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
302,IPC-Murder,2026-03-21T09:55:00,17.424435,78.436112,"Sector 36, Zone 10","Base dataset FIR #9: IPC-Murder recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,5
MV-184,Accident-RashDriving,2026-01-23T20:05:00,12.991207,80.22496,"Sector 36, Zone 6","Base dataset FIR #10: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
MV-184,Accident-RashDriving,2025-12-28T13:37:00,13.025343,80.190346,"Sector 21, Zone 11","Base dataset FIR #11: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
307,IPC-AttemptToMurder,2025-10-20T03:05:00,13.12803,80.199289,"Sector 17, Zone 8","Base dataset FIR #12: IPC-AttemptToMurder recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
MV-184,Accident-RashDriving,2025-10-14T02:33:00,13.020248,80.283073,"Sector 15, Zone 4","Base dataset FIR #13: Accident-RashDriving recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,True,False,3
MV-184,Accident-RashDriving,2025-12-13T16:07:00,13.102625,80.321771,"Sector 41, Zone 3","Base dataset FIR #14: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-10-22T10:15:00,13.034261,80.24815,"Sector 43, Zone 8","Base dataset FIR #15: NDPS-DrugPossession recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
MV-184,Accident-RashDriving,2025-12-26T03:17:00,13.12643,80.319636,"Sector 21, Zone 3","Base dataset FIR #16: Accident-RashDriving recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,True,False,3
NDPS-21,NDPS-DrugPossession,2026-02-25T15:10:00,12.98488,80.22726,"Sector 17, Zone 9","Base dataset FIR #17: NDPS-DrugPossession recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
MV-184,Accident-RashDriving,2026-03-01T02:39:00,17.311293,78.443804,"Sector 7, Zone 3","Base dataset FIR #18: Accident-RashDriving recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,True,False,3
323,IPC-Assault,2025-10-10T23:21:00,13.024022,80.169436,"Sector 8, Zone 2","Base dataset FIR #19: IPC-Assault recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
307,IPC-AttemptToMurder,2025-10-15T17:36:00,17.405419,78.454271,"Sector 3, Zone 4","Base dataset FIR #20: IPC-AttemptToMurder recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-03-20T15:22:00,12.9873,80.206908,"Sector 19, Zone 11","Base dataset FIR #21: ArmsAct-IllegalWeapon recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
323,IPC-Assault,2026-01-02T11:27:00,13.143446,80.328388,"Sector 35, Zone 6","Base dataset FIR #22: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
379,IPC-Theft,2026-02-17T08:46:00,12.966456,80.23201,"Sector 42, Zone 8","Base dataset FIR #23: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
NDPS-21,NDPS-DrugPossession,2026-02-04T21:33:00,13.029076,80.182366,"Sector 15, Zone 5","Base dataset FIR #24: NDPS-DrugPossession recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-02-13T15:17:00,13.025468,80.183098,"Sector 25, Zone 7","Base dataset FIR #25: ArmsAct-IllegalWeapon recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,4
NDPS-21,NDPS-DrugPossession,2026-01-24T01:27:00,12.988735,80.223056,"Sector 34, Zone 12","Base dataset FIR #26: NDPS-DrugPossession recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
323,IPC-Assault,2025-12-14T18:45:00,12.976003,80.21522,"Sector 24, Zone 7","Base dataset FIR #27: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
379,IPC-Theft,2025-10-11T14:06:00,12.989239,80.21467,"Sector 27, Zone 8","Base dataset FIR #28: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
302,IPC-Murder,2026-04-04T23:07:00,17.32436,78.455359,"Sector 34, Zone 3","Base dataset FIR #29: IPC-Murder recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,5
MV-184,Accident-RashDriving,2025-10-09T19:04:00,12.977555,80.212537,"Sector 42, Zone 4","Base dataset FIR #30: Accident-RashDriving recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,True,False,3
MV-184,Accident-RashDriving,2026-01-05T20:57:00,17.436175,78.454933,"Sector 50, Zone 7","Base dataset FIR #31: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,True,3
MV-184,Accident-RashDriving,2026-02-16T15:48:00,12.961698,80.207929,"Sector 41, Zone 4","Base dataset FIR #32: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-11-18T23:27:00,17.37363,78.478991,"Sector 11, Zone 8","Base dataset FIR #33: NDPS-DrugPossession recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,4
NDPS-21,NDPS-DrugPossession,2026-04-02T13:36:00,13.019265,80.198264,"Sector 42, Zone 4","Base dataset FIR #34: NDPS-DrugPossession recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
