crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
376,IPC-SexualOffence,2026-04-03T23:05:00,13.054058,80.238522,"Sector 13, Zone 9","Base dataset FIR #1: IPC-SexualOffence recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,True,5
376,IPC-SexualOffence,2026-02-20T07:05:00,12.987352,77.537322,"Sector 48, Zone 6","Base dataset FIR #2: IPC-SexualOffence recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,5
323,IPC-Assault,2025-10-28T03:40:00,13.030007,80.235729,"Sector 22, Zone 5","Base dataset FIR #3: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,True,2
420,IPC-Fraud,2025-11-10T13:37:00,13.024287,80.200844,"Sector 18, Zone 10","Base dataset FIR #4: IPC-Fraud recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,3
376,IPC-SexualOffence,2025-12-29T10:51:00,13.040499,80.241933,"Sector 38, Zone 2","Base dataset FIR #5: IPC-SexualOffence recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,5
323,IPC-Assault,2026-02-05T15:49:00,13.037485,80.249507,"Sector 9, Zone 3","Base dataset FIR #6: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
376,IPC-SexualOffence,2026-01-04T08:32:00,12.904708,77.619889,"Sector 23, Zone 7","Base dataset FIR #7: IPC-SexualOffence recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,5
420,IPC-Fraud,2026-01-15T22:01:00,13.12529,80.309081,"Sector 28, Zone 3","Base dataset FIR #8: IPC-Fraud recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,3
379,IPC-Theft,2025-09-11T00:05:00,12.964008,77.659026,"Sector 48, Zone 3","Base dataset FIR #9: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
376,IPC-SexualOffence,2026-03-29T14:45:00,13.132137,80.231118,"Sector 45, Zone 9","Base dataset FIR #10: IPC-SexualOffence recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,True,5
379,IPC-Theft,2025-09-26T03:39:00,13.035133,80.238634,"Sector 35, Zone 2","Base dataset FIR #11: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,True,2
376,IPC-SexualOffence,2025-08-18T18:20:00,12.961226,77.652129,"Sector 3, Zone 5","Base dataset FIR #12: IPC-SexualOffence recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,5
379,IPC-Theft,2026-01-30T17:38:00,13.005093,77.613451,"Sector 12, Zone 8","Base dataset FIR #13: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
323,IPC-Assault,2026-03-12T00:49:00,13.154069,80.329351,"Sector 2, Zone 9","Base dataset FIR #14: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,True,2
323,IPC-Assault,2025-10-17T00:36:00,13.040839,80.238489,"Sector 40, Zone 11","Base dataset FIR #15: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
376,IPC-SexualOffence,2025-11-22T19:28:00,12.968166,77.633611,"Sector 2, Zone 10","Base dataset FIR #16: IPC-SexualOffence recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,True,5
323,IPC-Assault,2026-02-12T03:07:00,13.031169,80.2522,"Sector 13, Zone 12","Base dataset FIR #17: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
323,IPC-Assault,2025-10-07T17:42:00,13.0981,80.234321,"Sector 30, Zone 3","Base dataset FIR #18: IPC-Assault recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
379,IPC-Theft,2025-08-12T14:33:00,13.045584,80.255298,"Sector 12, Zone 9","Base dataset FIR #19: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-10-29T23:16:00,13.045563,80.224313,"Sector 7, Zone 10","Base dataset FIR #20: NDPS-DrugPossession recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,4
323,IPC-Assault,2025-12-03T19:57:00,13.018904,77.605943,"Sector 13, Zone 6","Base dataset FIR #21: IPC-Assault recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,True,2
376,IPC-SexualOffence,2025-12-06T00:48:00,13.042195,80.255682,"Sector 39, Zone 10","Base dataset FIR #22: IPC-SexualOffence recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,5
307,IPC-AttemptToMurder,2025-09-28T01:57:00,13.035154,80.23444,"Sector 33, Zone 11","Base dataset FIR #23: IPC-AttemptToMurder recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
307,IPC-AttemptToMurder,2025-12-29T16:47:00,12.973614,77.634471,"Sector 16, Zone 12","Base dataset FIR #24: IPC-AttemptToMurder recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,4
376,IPC-SexualOffence,2025-08-15T20:29:00,12.952246,77.650274,"Sector 17, Zone 1","Base dataset FIR #25: IPC-SexualOffence recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,True,5
323,IPC-Assault,2025-10-19T14:24:00,12.95609,77.529034,"Sector 40, Zone 9","Base dataset FIR #26: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,True,2
376,IPC-SexualOffence,2026-01-12T15:59:00,13.061503,80.242967,"Sector 26, Zone 5","Base dataset FIR #27: IPC-SexualOffence recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,True,5
