crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
307,IPC-AttemptToMurder,2026-03-09T23:17:00,13.038414,80.308535,"Sector 12, Zone 19",FIR narrative sample #1 for IPC-AttemptToMurder.,Mylapore PS,False,False,4
NDPS-21,NDPS-DrugPossession,2026-03-02T00:05:00,13.039926,80.287023,"Sector 84, Zone 18",FIR narrative sample #2 for NDPS-DrugPossession.,Tambaram PS,False,False,4
NDPS-21,NDPS-DrugPossession,2025-08-21T14:37:00,13.021109,77.51564,"Sector 55, Zone 11",FIR narrative sample #3 for NDPS-DrugPossession.,Tambaram PS,False,False,4
376,IPC-SexualOffence,2025-10-26T06:48:00,12.907954,77.575388,"Sector 78, Zone 9",FIR narrative sample #4 for IPC-SexualOffence.,Velachery PS,False,False,5
302,IPC-Murder,2024-12-19T17:07:00,12.904208,77.561509,"Sector 74, Zone 7",FIR narrative sample #5 for IPC-Murder.,Velachery PS,False,False,5
307,IPC-AttemptToMurder,2026-02-16T21:14:00,13.049235,77.651451,"Sector 36, Zone 15",FIR narrative sample #6 for IPC-AttemptToMurder.,Anna Nagar PS,False,False,4
323,IPC-Assault,2025-10-19T11:22:00,13.109928,80.302991,"Sector 78, Zone 6",FIR narrative sample #7 for IPC-Assault.,T. Nagar PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2025-07-27T05:29:00,12.934792,77.662663,"Sector 88, Zone 11",FIR narrative sample #8 for ArmsAct-IllegalWeapon.,Adyar PS,False,False,4
302,IPC-Murder,2025-08-12T01:51:00,12.955786,77.52519,"Sector 92, Zone 11",FIR narrative sample #9 for IPC-Murder.,Mylapore PS,False,False,5
420,IPC-Fraud,2024-06-01T15:25:00,17.378416,78.449081,"Sector 69, Zone 9",FIR narrative sample #10 for IPC-Fraud.,Mylapore PS,False,False,3
MV-184,Accident-RashDriving,2025-01-20T18:25:00,12.926691,77.674206,"Sector 97, Zone 2",FIR narrative sample #11 for Accident-RashDriving.,T. Nagar PS,True,False,3
307,IPC-AttemptToMurder,2025-10-29T20:10:00,17.372546,78.416864,"Sector 68, Zone 9",FIR narrative sample #12 for IPC-AttemptToMurder.,Anna Nagar PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-03-23T21:46:00,13.111774,80.276615,"Sector 44, Zone 4",FIR narrative sample #13 for ArmsAct-IllegalWeapon.,Tambaram PS,False,False,4
376,IPC-SexualOffence,2025-01-13T05:29:00,13.155311,80.330836,"Sector 98, Zone 6",FIR narrative sample #14 for IPC-SexualOffence.,Mylapore PS,False,True,5
ARMS-25,ArmsAct-IllegalWeapon,2025-12-16T20:19:00,17.386226,78.438526,"Sector 70, Zone 17",FIR narrative sample #15 for ArmsAct-IllegalWeapon.,Adyar PS,False,False,4
302,IPC-Murder,2024-07-29T10:31:00,13.020599,80.248777,"Sector 31, Zone 2",FIR narrative sample #16 for IPC-Murder.,Velachery PS,False,False,5
420,IPC-Fraud,2024-08-31T02:05:00,17.382758,78.417774,"Sector 17, Zone 16",FIR narrative sample #17 for IPC-Fraud.,Adyar PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-10-16T08:33:00,17.372702,78.440588,"Sector 89, Zone 7",FIR narrative sample #18 for ArmsAct-IllegalWeapon.,Tambaram PS,False,False,4
376,IPC-SexualOffence,2025-02-19T21:41:00,12.961696,77.597412,"Sector 9, Zone 11",FIR narrative sample #19 for IPC-SexualOffence.,Adyar PS,False,True,5
302,IPC-Murder,2024-08-09T17:14:00,17.340235,78.418059,"Sector 9, Zone 2",FIR narrative sample #20 for IPC-Murder.,Adyar PS,False,False,5
323,IPC-Assault,2026-01-21T16:15:00,12.998636,77.548878,"Sector 74, Zone 16",FIR narrative sample #21 for IPC-Assault.,Mylapore PS,False,False,2
420,IPC-Fraud,2024-12-05T13:12:00,13.018209,80.259668,"Sector 94, Zone 2",FIR narrative sample #22 for IPC-Fraud.,Anna Nagar PS,False,False,3
307,IPC-AttemptToMurder,2026-01-31T12:46:00,13.019695,77.532083,"Sector 58, Zone 5",FIR narrative sample #23 for IPC-AttemptToMurder.,Mylapore PS,False,False,4
NDPS-21,NDPS-DrugPossession,2025-09-28T08:29:00,13.142618,80.202762,"Sector 13, Zone 2",FIR narrative sample #24 for NDPS-DrugPossession.,Mylapore PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-03-19T02:59:00,13.02931,80.268403,"Sector 8, Zone 6",FIR narrative sample #25 for ArmsAct-IllegalWeapon.,Anna Nagar PS,False,False,4
NDPS-21,NDPS-DrugPossession,2026-04-01T12:16:00,12.93724,77.626055,"Sector 85, Zone 16",FIR narrative sample #26 for NDPS-DrugPossession.,Mylapore PS,False,False,4
379,IPC-Theft,2025-09-21T09:13:00,13.095369,80.277451,"Sector 7, Zone 19",FIR narrative sample #27 for IPC-Theft.,T. Nagar PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2024-11-05T16:10:00,13.156425,80.203518,"Sector 9, Zone 8",FIR narrative sample #28 for NDPS-DrugConsumption.,Mylapore PS,False,False,3
NDPS-21,NDPS-DrugPossession,2025-12-02T18:15:00,17.400123,78.505801,"Sector 73, Zone 17",FIR narrative sample #29 for NDPS-DrugPossession.,Mylapore PS,False,False,4
323,IPC-Assault,2025-07-10T06:42:00,17.355269,78.449198,"Sector 39, Zone 15",FIR narrative sample #30 for IPC-Assault.,Tambaram PS,False,False,2
323,IPC-Assault,2026-01-19T00:29:00,17.464753,78.566075,"Sector 65, Zone 9",FIR narrative sample #31 for IPC-Assault.,Adyar PS,False,False,2
379,IPC-Theft,2025-04-11T02:56:00,13.061824,80.215939,"Sector 39, Zone 20",FIR narrative sample #32 for IPC-Theft.,Tambaram PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2026-03-26T21:52:00,17.352901,78.512842,"Sector 34, Zone 4",FIR narrative sample #33 for ArmsAct-IllegalWeapon.,Adyar PS,False,False,4
307,IPC-AttemptToMurder,2024-09-14T04:17:00,12.988373,77.629418,"Sector 34, Zone 17",FIR narrative sample #34 for IPC-AttemptToMurder.,Tambaram PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2025-07-20T01:05:00,17.372772,78.450969,"Sector 82, Zone 9",FIR narrative sample #35 for NDPS-DrugConsumption.,Adyar PS,False,True,3
379,IPC-Theft,2025-01-06T17:45:00,12.981345,77.5325,"Sector 20, Zone 18",FIR narrative sample #36 for IPC-Theft.,Tambaram PS,False,False,2
302,IPC-Murder,2025-03-21T18:35:00,13.071466,80.197393,"Sector 46, Zone 7",FIR narrative sample #37 for IPC-Murder.,T. Nagar PS,False,False,5
420,IPC-Fraud,2024-05-21T03:22:00,17.446462,78.47172,"Sector 31, Zone 6",FIR narrative sample #38 for IPC-Fraud.,Adyar PS,False,False,3
379,IPC-Theft,2025-02-05T00:11:00,17.452918,78.531882,"Sector 95, Zone 8",FIR narrative sample #39 for IPC-Theft.,Tambaram PS,False,False,2
376,IPC-SexualOffence,2025-10-22T22:06:00,13.031147,77.651975,"Sector 45, Zone 10",FIR narrative sample #40 for IPC-SexualOffence.,Anna Nagar PS,False,True,5
420,IPC-Fraud,2025-08-18T00:42:00,13.066455,80.235276,"Sector 45, Zone 17",FIR narrative sample #41 for IPC-Fraud.,Velachery PS,False,False,3
NDPS-21,NDPS-DrugPossession,2024-05-08T17:21:00,13.021155,80.345964,"Sector 5, Zone 4",FIR narrative sample #42 for NDPS-DrugPossession.,Velachery PS,False,False,4
MV-184,Accident-RashDriving,2025-01-14T11:46:00,12.961423,77.672078,"Sector 25, Zone 9",FIR narrative sample #43 for Accident-RashDriving.,Mylapore PS,True,False,3
302,IPC-Murder,2024-04-08T13:00:00,17.453092,78.492852,"Sector 95, Zone 7",FIR narrative sample #44 for IPC-Murder.,Tambaram PS,False,False,5
323,IPC-Assault,2025-01-17T02:42:00,12.991305,77.620742,"Sector 65, Zone 10",FIR narrative sample #45 for IPC-Assault.,Velachery PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-05-04T12:44:00,12.980306,77.545294,"Sector 87, Zone 6",FIR narrative sample #46 for NDPS-DrugPossession.,Anna Nagar PS,False,False,4
MV-184,Accident-RashDriving,2024-08-29T09:25:00,17.438396,78.45532,"Sector 78, Zone 11",FIR narrative sample #47 for Accident-RashDriving.,Mylapore PS,True,False,3
NDPS-27,NDPS-DrugConsumption,2025-01-06T14:43:00,13.084488,80.317698,"Sector 22, Zone 3",FIR narrative sample #48 for NDPS-DrugConsumption.,Tambaram PS,False,False,3
376,IPC-SexualOffence,2024-10-23T21:40:00,17.35863,78.537648,"Sector 40, Zone 8",FIR narrative sample #49 for IPC-SexualOffence.,Tambaram PS,False,False,5
420,IPC-Fraud,2025-11-04T00:02:00,13.16013,80.288504,"Sector 54, Zone 19",FIR narrative sample #50 for IPC-Fraud.,Anna Nagar PS,False,False,3
420,IPC-Fraud,2024-04-20T12:31:00,12.930638,77.619569,"Sector 55, Zone 8",FIR narrative sample #51 for IPC-Fraud.,T. Nagar PS,False,True,3
